
HLAVICKA,
St,G202,,GUX,~,GMU,~,,,,,,,,,,GMU MAT   3;GMU PCS   3,,,,,,,,,,,,,,,,,,,,,,
St,A112,,PCS,~,SRI,~,,,INI,~,,,,,,IEL IMF   1;IEL IMS   1,,,,,,,,,,,,,,,,,,,,,,
St,A113,,,IMF,~,,,,,,2ISS,~,,,,IEL INP  25;IEL ISS  26,,,,,,,,,,,,,,,,,,,,,,
St,N203,,2ISS,~,2ISS,~,,,,,2ISS,~,,,,IEL ITU   1;IEL IUS  12,,,,,,,,,,,,,,,,,,,,,,
St,N204,,2ITU,~,2ISS,~,,,,,2ITU,~,,,,IEL IZP   5;IMF IMS  10,,,,,,,,,,,,,,,,,,,,,,
St,N205,,2ITU,~,,,,,,,2ITU,~,,,,IMF INP  12;IMF IPZ  10,,,,,,,,,,,,,,,,,,,,,,
St,O203,,,,,,,,,,,,,,,IMF ISS  12;IMF ITU  12,,,,,,,,,,,,,,,,,,,,,,

HLAVICKA,
Čt,D105,,IEL (a),~,PGR,~,~,IEL (a)+-1,2IEL (a),IIS,~,IZP (a)+-1,2IZP (a),,,AIS FIT   7;AIS PDI   9,$P,$P,$P,,$P,,,$P,,,,,$P,,,$PL,$PL,$PV,$PV,$PV,$P,
Čt,D0206,,VIN,~,ISC,~,THE,~,,IIS,~,,,,,AIS PGR   1;AIS PRM   2,,$P,,,,,,,,,,,$PV,,,,,$PV,,,$PV,
Čt,D0207,,IEL (a),~,ISC,~,,IEL (a)+-1,2IEL (a),,,IZP (a)+-1,2IZP (a),,,AIS SMT   4;AIS THE   3,,$2P,,,,,,,,,,,,,,,,,,,,
Čt,E112,,IAL (b),~,~,IFJ (b),~,~,AIS,~,~,2SMT,~,~,,AIS VIN   3;FIT PDI   4,,,,,,,,,,,,,,,,,,,,,,
Čt,E104,,IAL (b),~,~,IFJ (b),~,~,,IPS,~,2SMT,~,~,,FIT PGR   2;FIT THE   1,,,,,,,,,,,,,,,,,,,,,,
Čt,E105,,IAL (b),~,~,IFJ (b),~,~,,IPS,~,2SMT,~,~,,IAL IEL  26;IAL IFJ 479,,,,,,,,,,,,,,,,,,,,,,
Čt,G202,,,,,IPA,~,FIT,~,RET,~,PRM,~,,,IAL IIS  34;IAL IPA  18,,,,,,,,,,,,,,,,,,,,,,
Čt,A112,,,,PDI,~,,ITUe,~,,,,,,,IAL IPS  50;IAL ISS 466,,,,,,,,,,,,,,,,,,,,,,
